topic,app,baseline,prioEM,prioEM0RT1,prioEMRT,prioEMRTVS,prioEMRTVSTSAN,dropVS15AN15,dropVS15AN15RT15,dropVS20AN20,dropVS20AN20RT10
firedetection,app30,16.568335405537454,19.936027436775188,3.878890291741497,2.371676535404256,4.198028897810191,4.362920875270902,18.243916728059318,18.538026825245286,17.267279352638838,17.996626892653588
smartthings,app1,16.02727305895054,17.180209283029125,22.555719016985663,21.47490286992526,45.99958857370006,55.88076677945136,17.04497604672567,17.224968949196192,17.056803000630243,18.31297872662767
smartthings,app3,15.552486890074281,17.489354343721317,22.98326760958756,21.20014036132721,46.39078665433775,56.22032703565804,16.3538407368457,17.405440805310118,17.277138411688256,18.855246436513625
smartthings,app8,16.045266213059048,18.132227862520963,22.837902832428664,21.932299771971394,47.0309651080945,56.32904870638118,17.180787562765527,16.840988206751277,17.51861311124305,18.367673023921338
smartthings,app11,15.700722015440967,17.8567799917141,22.828264832320215,21.452852433719478,47.11946818132873,5.5135310045997725,16.96824505302596,17.321763801150833,17.403356368035162,18.01728907875794
smartthings,app14,16.362486263815985,17.882680420014594,23.12130625343265,21.89726880018135,46.59717801290352,5.242156945351116,17.410484954185378,17.1688958698343,17.767914220730837,18.156590071471705
printing,app11,16.35021338912933,17.149543468448506,21.957924216162127,22.21565257894553,43.63190271684855,4.2049984206483035,17.309611059446173,17.50758620356829,17.148499415819593,17.017281884190325
printing,app13,16.45508354942841,17.713748111938653,21.712437296543687,22.059462016778415,44.67206872819907,4.951097456017439,16.876703610299312,17.676344544385184,17.31696579584234,17.30410921219178
printing,app12,15.87637562878043,17.67274077868982,21.57458736509312,22.151745835507427,44.09550254949794,4.086144010509564,17.0786222886331,17.51963453601384,17.33591185274144,17.42276832482267
printing,app15,16.379528213201983,17.773718145124715,21.970938908415942,21.624595565579597,44.34462074337029,4.601380103821176,16.801113949765856,17.503471256787005,16.94696195873452,17.01606069141223
printing,app14,15.575996113655087,17.715898709290645,21.636554645564573,22.368209957993997,43.91327511133622,4.751895316135673,17.230881298953353,17.547720120602776,17.232498966237685,17.032220825285055
printing,app17,15.918804737859118,17.51869098214812,21.978998469466017,22.114477847394767,44.19979235153059,4.582148351072539,17.011100440960956,17.665816161275178,17.319522522735934,17.35122711722521
printing,app16,16.706075355109302,17.613171760436195,21.85477913790379,21.6073495498317,44.24946489238645,4.449857779457841,17.166766750975178,17.701338554108084,17.151559841014755,17.379301161173505
videosurveillance,app37,17.536648729904616,20.488914148855248,25.26686372100129,25.400173978629976,6.97171549622474,6.843336663224251,18.440681927568942,18.64998731294041,18.57542204005624,18.921909899920802
bms,app107,17.66561300350421,2.2194426661418785,2.1819786829043255,2.398570470200093,2.263293871897568,2.208426103514036,18.30862468236661,18.762069800464882,18.847020959431106,19.134773789556533
videosurveillance,app36,17.450131030754207,20.3838879193839,25.28506146256744,25.270525517249354,6.762925882262134,6.809038904346856,18.627725377170695,18.797567618206585,18.706475802961627,18.932327073097706
intrusiondetection,app2,16.282647414548457,17.603011088438322,22.029896827329317,22.430177581635395,47.53727009778991,56.03021089205883,17.252541526428686,17.52960827797146,17.541574642057686,17.854000197038694
intrusiondetection,app6,16.40398986412911,17.55094234933247,22.01701549503013,22.372823374140502,47.64485902153344,55.97770071419611,17.15429004344589,17.428134863917773,17.478398241330858,17.807860707061128
printing,app2,16.039821323657474,18.225368184820827,21.83769644644198,21.91283112758565,44.14724456968977,56.30785064168466,16.93867366249526,17.471214002914195,16.69017913906692,16.849228802952467
printing,app5,16.301645074384247,17.85293316703325,21.56002052230784,21.80032689967819,43.74430127356972,55.662122341278405,17.063933290043124,17.58861897793192,17.39862275398054,16.84200564981293
printing,app4,16.378448520830638,17.853381478163097,21.63341007644979,22.483498248201414,44.21268577000564,56.47237731808979,17.273990762952756,18.17977251453571,16.989630246129405,17.18136794277928
videosurveillance,app38,17.540122827837042,20.464671862969034,25.23798826549745,25.409093806489555,6.7687188050881835,6.867929752781239,18.419220027960815,18.888328901341975,18.70668684953859,18.93344714007782
firedetection,app29,16.170613762091154,19.869379828756745,4.049083936782277,2.393297558318431,4.220180154998141,4.4296603771699905,18.529784635481906,18.536231171929014,17.594828534603586,18.62220237614203
firedetection,app27,17.194072061460655,19.88372952786422,4.071108047984696,2.677548865357252,4.399861116281907,4.543706524615065,18.1386882051206,18.655715499503508,17.613251613111686,18.527729328840184
firedetection,app25,16.69692280815132,19.521048924805466,3.9364899070101065,2.50931811027352,4.036153970271822,4.531670503219872,18.37483153381757,18.48666607285367,17.460622486469852,18.599026439105984
