topic,app,response_time,throughput,drop_rate
amazonecho,app21,0.093546309637583,0.0019155428405687,0.0
bms,app21,0.1184149430119318,0.3050464852357636,0.0
bms,app2,0.2060118127928496,0.2900961406776498,0.0
energymanagement,app1,0.187825522176504,0.0611540014903308,0.0
energymanagement,app2,0.1888527652289957,0.0611033327037354,0.0
firedetection,app1,0.2870131417586338,0.0033125197739998,0.0
firedetection,app22,0.1435703862775367,0.0034295699426924,0.0
firedetection,app23,0.1501337887452595,0.0034295699426924,0.0
intrusiondetection,app21,0.1278939599880875,0.904635592812277,0.0
intrusiondetection,app2,0.2877206807920274,0.8639904137391045,0.0
intrusiondetection,app36,0.192204365002644,0.8890587078138952,0.0
occupancymanagement,app12,0.2143631228223817,0.0051398054991892,0.0
occupancymanagement,app21,0.1197827032430356,0.0051398054991892,0.0
printing,app11,0.1911773668115507,0.011299901968532,0.0
printing,app2,0.1942785569497275,0.010726124562876,0.0
smartthings,app1,0.1963675383067993,0.0037143510366822,0.0
smartthings,app22,0.121016542771419,0.0038432401893746,0.0
videosurveillance,app2,0.2858311201518764,0.2597403280870203,0.0
videosurveillance,app36,0.1700087314686058,0.2662110853513315,0.0
videosurveillance,app38,0.1692792199463342,0.2662841155440551,0.0
