topic,app,baseline,prioAN,prioRT,prioTS,prioVS,prioRTVS,prioRTVSTSAN,dropVS1,dropVS2,dropVS2AN2,dropVS2AN5
intrusiondetection,app2,0.2079189440963107,0.13036828659784563,0.24451178839623422,0.20963303280329043,0.2487829308250378,0.29576158267937736,0.2960321091303749,0.208115891160417,0.20639190740151717,0.2050245425298252,0.20461745381555402
intrusiondetection,app21,0.20676100842451364,0.2538501993162969,0.12936481863203028,0.209408185503664,0.2481637922274906,0.1281511754672094,0.12793745377330573,0.20682429932222265,0.20671551293029067,0.20399120737152895,0.20287515547997137
videosurveillance,app38,0.20908065169323142,0.25344111044546797,0.2236543291956319,0.2071750682695784,0.15248377598566837,0.17133375676135762,0.1702187496936768,0.20836948174999087,0.2063913334875743,0.20393629099641805,0.20131822768029786
intrusiondetection,app36,0.20834987964491003,0.25207668820078033,0.24530458661128132,0.2087896198733685,0.13048711793232878,0.1931341292357259,0.19346095778627356,0.20665308000128121,0.20697213817141638,0.2049121705302858,0.20332367149979916
smartthings,app1,0.18054156526668208,0.12634609140932548,0.1867748775017686,0.17523322649312226,0.17712777072450464,0.2235666848660733,0.21508668360778063,0.16858666795993696,0.17324095185342958,0.17255642869332438,0.17330558651720154
bms,app2,0.1694260436005216,0.121809732406549,0.19388271651448571,0.17013165307996095,0.17960330971758015,0.2090113802840964,0.21112407558726312,0.16980061806011335,0.16987452508021797,0.1681942197384893,0.16622304183136055
occupancymanagement,app21,0.16508480496771077,0.1716328662659844,0.12119268099596965,0.18864957936460958,0.18029325603711835,0.12054777833681453,0.12106868524621404,0.17783138124516384,0.16915697599318133,0.1641786843522847,0.16857217990645565
printing,app2,0.16848995715347656,0.1228782591070426,0.174812517094764,0.1901403465745682,0.18364823461005012,0.19480273386903388,0.21252752531989322,0.16464984136019586,0.17204704863485612,0.17384077011786125,0.1679779122307414
firedetection,app23,0.2056621877100532,0.2534441253170334,0.15180929177458724,0.20778580660984505,0.2144662446318515,0.14575757297879502,0.1523163931911118,0.20803094351400855,0.21002091393765135,0.209209396009603,0.18954340864195962
firedetection,app22,0.20953109986298254,0.24708865742316488,0.15160525178277776,0.2128985186711857,0.21468602485166685,0.1510322982534774,0.14953087787078131,0.2031570295491945,0.20452640844323006,0.20024748413519713,0.19190623353041628
amazonecho,app21,0.12929722151876274,0.141839032280405,0.09586754918800959,0.1494964595614062,0.13723408406581228,0.09837411319293947,0.09421249047497245,0.13182644034662389,0.11987090236601981,0.12559001672028847,0.13488559271559358
printing,app11,0.16902507421032759,0.19429478028068847,0.17766397598066322,0.11614104271186698,0.1839251853820363,0.1929988426179316,0.15200491348526915,0.1728939179586036,0.1732944498822343,0.17110908781435175,0.16402609226311762
energymanagement,app2,0.16774717082414953,0.13524497185151035,0.18207215832798299,0.1695532592359751,0.1800783825306619,0.1930421454701612,0.19616932440533696,0.16934306062736773,0.16999254804576688,0.16465800453447463,0.16281587236979128
energymanagement,app1,0.1678863777518119,0.13564340644786166,0.18029156805397117,0.17063455289020818,0.18107488219209983,0.18973238563973932,0.1943191146762577,0.16973385085392628,0.1685543037564013,0.1649859848600183,0.16254675047746148
smartthings,app22,0.17850656323173733,0.20308155107064638,0.12189349720051458,0.16784861110857371,0.17598308207980548,0.12193838615866001,0.11731874411433979,0.16356557938800226,0.16948860663775062,0.1732026410469946,0.16959194806534825
firedetection,app1,0.20725526918478115,0.1300603865501471,0.25954240746406804,0.21708164672130384,0.22259811276360975,0.2923509795705642,0.29952016434857986,0.19764738767599277,0.22332340092420228,0.21027026130036763,0.1976380127719614
bms,app21,0.1689833132539524,0.19875150265904518,0.11957193587072276,0.17012804584033742,0.17959015341597273,0.11989982890681146,0.12014614312060258,0.17030616379220784,0.16972809668052405,0.16710526967060577,0.16545516087050038
occupancymanagement,app12,0.16676035713825968,0.17464103128529748,0.19288091714461092,0.11589316910912496,0.17762347462551872,0.2139037777690796,0.17854966580350073,0.17416837758223602,0.17229669341858012,0.16583650928592308,0.16744095818698557
videosurveillance,app2,0.20789820768522344,0.13047427723450952,0.22274761706330976,0.20688945753416602,0.2715358290971611,0.29618460957582216,0.2926564186803873,0.20777719901957042,0.2052812148937055,0.20594817028248505,0.20238276565167873
videosurveillance,app36,0.2084993495100184,0.25046031234365834,0.22234585100302354,0.20821927509901908,0.15190371388987992,0.17117084616169703,0.17187030804431241,0.20865082872072346,0.20453756292242725,0.20667483407476714,0.20338260639150774
